number,district,address,amount
1.1,Адмиралтейский,"10-я Красноармейская ул., д.8",3
1.2,Адмиралтейский,"11-я Красноармейская ул., д.9",3
1.3,Адмиралтейский,"12-я Красноармейская ул., д.1/21",1
1.4,Адмиралтейский,"13-я Красноармейская ул., д.24",3
1.5,Адмиралтейский,"1-я Красноармейская ул., д.7-9",3
1.6,Адмиралтейский,"2-я Красноармейская ул., д.19",3
1.7,Адмиралтейский,"5-я Красноармейская ул., д.16",3
1.8,Адмиралтейский,"6-я Красноармейская ул., д.22",3
1.9,Адмиралтейский,"6-я Красноармейская ул., д.2-4",1
1.10,Адмиралтейский,"8-я Красноармейская ул., д.13",3
1.11,Адмиралтейский,"9-я Красноармейская ул., д.10Б",3
1.12,Адмиралтейский,"Адмиралтейский пр., д. 10",1
1.13,Адмиралтейский,"Адмиралтейского кан. наб., д.1",1
1.14,Адмиралтейский,"Адмиралтейского кан. наб., д.11-13",3
1.15,Адмиралтейский,"Адмиралтейского канала наб., д. 3",1
1.16,Адмиралтейский,"Адмиралтейского канала наб., д. 9",1
1.17,Адмиралтейский,"Английский пр., д.17-19",3
1.18,Адмиралтейский,"Английский пр., д.36",2
1.19,Адмиралтейский,"Английский пр., д.56",3
1.20,Адмиралтейский,"Английский пр., д.62",2
1.21,Адмиралтейский,"Балтийского Вокзала пл., д.1",10
1.22,Адмиралтейский,"Батайский пер., д. 3, лит. А",2
1.23,Адмиралтейский,Благовещенский мост,8
1.24,Адмиралтейский,"Большая Морская ул., д.39",2
1.25,Адмиралтейский,"Большой Казачий пер., д. 1",1
1.26,Адмиралтейский,"Большой Казачий пер., д. 7",1
1.27,Адмиралтейский,"Бородинская ул., д.15",1
1.28,Адмиралтейский,"Бронницкая ул., д. 22",1
1.29,Адмиралтейский,"Бронницкая ул., д. 26",4
1.30,Адмиралтейский,"Бронницкая ул., д.15",1
1.31,Адмиралтейский,"Бронницкая ул., д.16",1
1.32,Адмиралтейский,"Бронницкая ул., д.37",1
1.33,Адмиралтейский,"Введенский кан., д.8",2
1.34,Адмиралтейский,"Верейская ул., д.20",3
1.35,Адмиралтейский,"Верейская ул., д.22-24",1
1.36,Адмиралтейский,"Верейская ул., д.23",3
1.37,Адмиралтейский,"Верейская ул., д.35",1
1.38,Адмиралтейский,"Вознесенский пр., д.37/6",3
1.39,Адмиралтейский,"Галерная ул., д.26",1
1.40,Адмиралтейский,"Галерная ул., д.55",2
1.41,Адмиралтейский,"Глинки ул., д. 2",4
1.42,Адмиралтейский,"Гороховая ул., д. 5",1
1.43,Адмиралтейский,"Гороховая ул., д. 61",2
1.44,Адмиралтейский,"Гороховая ул., д.17/56",2
1.45,Адмиралтейский,"Гороховая ул., д.27",2
1.46,Адмиралтейский,"Гороховая ул., д.43",3
1.47,Адмиралтейский,"Гороховая ул., д.52",3
1.48,Адмиралтейский,"Гороховая ул., д.54",2
1.49,Адмиралтейский,"Гороховая ул., д.56",1
1.50,Адмиралтейский,"Гороховая ул., д.57",3
1.51,Адмиралтейский,"Гороховая ул., д.79",3
1.52,Адмиралтейский,"Грибоедова кан. наб., д.44",2
1.53,Адмиралтейский,"Гривцова пер., д.13/11",1
1.54,Адмиралтейский,"Гривцова пер., д.18",1
1.55,Адмиралтейский,Дворцовый мост,4
1.56,Адмиралтейский,"Декабристов ул., д. 14",2
1.57,Адмиралтейский,"Декабристов ул., д. 15",1
1.58,Адмиралтейский,"Декабристов ул., д. 22-24",2
1.59,Адмиралтейский,"Декабристов ул., д.26",1
1.60,Адмиралтейский,"Декабристов ул., д.36/1",1
1.61,Адмиралтейский,"Декабристов ул., д.37",3
1.62,Адмиралтейский,"Декабристов ул., д.54",3
1.63,Адмиралтейский,"Декабристов ул., д.57",3
